Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+7F6E,200021851_00007_2,1903,835,B0001,C0001,100,114
U+3042,200021851_00007_2,1903,982,B0001,C0002,115,82
U+3076,200021851_00007_2,1869,1069,B0001,C0003,154,123
U+308A,200021851_00007_2,1952,1203,B0001,C0004,58,161
U+3066,200021851_00007_2,1903,1362,B0001,C0005,100,106
U+98DF,200021851_00007_2,1896,1469,B0001,C0006,132,163
U+3075,200021851_00007_2,1870,1616,B0001,C0007,158,131
U+53C8,200021851_00007_2,1887,1730,B0001,C0008,159,142
U+304B,200021851_00007_2,1884,1876,B0001,C0009,140,50
U+3066,200021851_00007_2,1899,1936,B0001,C0010,101,99
U+7269,200021851_00007_2,1889,2072,B0001,C0011,138,84
U+3068,200021851_00007_2,1957,2160,B0001,C0012,30,106
U+3059,200021851_00007_2,1893,2293,B0001,C0013,117,161
U+25CB,200021851_00007_2,1674,912,B0001,C0014,124,126
U+3061,200021851_00007_2,1682,1131,B0001,C0015,124,143
U+3062,200021851_00007_2,1455,684,B0001,C0016,132,117
U+305F,200021851_00007_2,1458,808,B0001,C0017,86,132
U+3050,200021851_00007_2,1445,955,B0001,C0018,135,114
U+308A,200021851_00007_2,1503,1093,B0001,C0019,51,134
U+3062,200021851_00007_2,1549,1261,B0001,C0020,79,72
U+3093,200021851_00007_2,1549,1325,B0001,C0021,84,95
U+3060,200021851_00007_2,1554,1417,B0001,C0022,74,85
U+3050,200021851_00007_2,1539,1513,B0001,C0023,86,56
U+308A,200021851_00007_2,1571,1581,B0001,C0024,38,91
U+3068,200021851_00007_2,1485,1261,B0001,C0025,18,86
U+3082,200021851_00007_2,1458,1350,B0001,C0026,52,82
U+4E91,200021851_00007_2,1465,1472,B0001,C0027,54,68
U+6C34,200021851_00007_2,1423,1735,B0001,C0028,150,126
U+3092,200021851_00007_2,1443,1882,B0001,C0029,124,86
U+304B,200021851_00007_2,1468,1982,B0001,C0030,54,80
U+3078,200021851_00007_2,1420,2080,B0001,C0031,143,31
U+3066,200021851_00007_2,1442,2128,B0001,C0032,111,99
U+716E,200021851_00007_2,1436,2240,B0001,C0033,131,175
U+4E8B,200021851_00007_2,1432,2407,B0001,C0034,135,191
U+5341,200021851_00007_2,1425,2633,B0001,C0035,127,105
U+56DB,200021851_00007_2,1437,2768,B0001,C0036,124,63
U+4E94,200021851_00007_2,1219,844,B0001,C0037,113,94
U+5EA6,200021851_00007_2,1192,963,B0001,C0038,160,151
U+3057,200021851_00007_2,1269,1110,B0001,C0039,17,185
U+3088,200021851_00007_2,1257,1299,B0001,C0040,36,114
U+304F,200021851_00007_2,1241,1413,B0001,C0041,40,96
U+3080,200021851_00007_2,1190,1540,B0001,C0042,128,115
U+3057,200021851_00007_2,1247,1658,B0001,C0043,18,157
U+3066,200021851_00007_2,1191,1824,B0001,C0044,108,103
U+98DF,200021851_00007_2,1197,1929,B0001,C0045,125,153
U+3075,200021851_00007_2,1172,2078,B0001,C0046,147,107
U+306A,200021851_00007_2,1229,2191,B0001,C0047,99,83
U+304B,200021851_00007_2,1240,2290,B0001,C0048,44,52
U+308C,200021851_00007_2,1206,2359,B0001,C0049,155,108
U+306B,200021851_00007_2,1245,2442,B0001,C0050,53,88
U+4E00,200021851_00007_2,1197,2571,B0001,C0051,125,26
U+5BBF,200021851_00007_2,1199,2614,B0001,C0052,117,131
U+3072,200021851_00007_2,1216,2749,B0001,C0053,106,85
U+305F,200021851_00007_2,1000,845,B0001,C0054,78,137
U+305B,200021851_00007_2,970,993,B0001,C0055,132,78
U+306F,200021851_00007_2,1013,1113,B0001,C0056,77,41
U+4E00,200021851_00007_2,979,1223,B0001,C0057,124,20
U+5EA6,200021851_00007_2,963,1325,B0001,C0058,164,136
U+716E,200021851_00007_2,970,1492,B0001,C0059,124,170
U+3066,200021851_00007_2,970,1680,B0001,C0060,110,84
U+3082,200021851_00007_2,1002,1782,B0001,C0061,71,112
U+3088,200021851_00007_2,1030,1904,B0001,C0062,32,85
U+3057,200021851_00007_2,1041,1993,B0001,C0063,12,127
U+53C8,200021851_00007_2,963,2144,B0001,C0064,155,133
U+304B,200021851_00007_2,964,2270,B0001,C0065,136,41
U+3066,200021851_00007_2,977,2328,B0001,C0066,115,100
U+7269,200021851_00007_2,960,2458,B0001,C0067,154,82
U+3068,200021851_00007_2,1051,2543,B0001,C0068,34,88
U+3059,200021851_00007_2,972,2651,B0001,C0069,113,131
U+25CB,200021851_00007_2,750,918,B0001,C0070,125,121
U+3092,200021851_00007_2,749,1120,B0001,C0071,130,164
U+3092,200021851_00007_2,514,679,B0001,C0072,139,128
U+3051,200021851_00007_2,512,832,B0001,C0073,122,126
U+3089,200021851_00007_2,563,961,B0001,C0074,36,128
U+308F,200021851_00007_2,516,1361,B0001,C0075,127,103
U+304B,200021851_00007_2,568,1487,B0001,C0076,36,36
U+8449,200021851_00007_2,514,1540,B0001,C0077,136,146
U+3092,200021851_00007_2,510,1708,B0001,C0078,153,95
U+3086,200021851_00007_2,505,1828,B0001,C0079,136,116
U+3072,200021851_00007_2,509,1951,B0001,C0080,142,139
U+304D,200021851_00007_2,537,2093,B0001,C0081,74,131
U+98DF,200021851_00007_2,504,2238,B0001,C0082,137,161
U+3075,200021851_00007_2,488,2383,B0001,C0083,156,110
U+53C8,200021851_00007_2,500,2488,B0001,C0084,164,140
U+304B,200021851_00007_2,507,2623,B0001,C0085,131,53
U+3066,200021851_00007_2,513,2704,B0001,C0086,115,105
U+7269,200021851_00007_2,249,849,B0001,C0087,167,85
U+3068,200021851_00007_2,348,931,B0001,C0088,31,140
U+3059,200021851_00007_2,273,1090,B0001,C0089,127,163
U+6839,200021851_00007_2,257,1264,B0001,C0090,180,134
U+306F,200021851_00007_2,320,1420,B0001,C0091,80,44
U+9ED2,200021851_00007_2,272,1486,B0001,C0092,154,129
U+76AE,200021851_00007_2,294,1633,B0001,C0093,124,160
U+3092,200021851_00007_2,277,1791,B0001,C0094,128,89
U+53BB,200021851_00007_2,272,1896,B0001,C0095,129,127
U+3046,200021851_00007_2,317,2037,B0001,C0096,48,141
U+3059,200021851_00007_2,258,2184,B0001,C0097,133,121
U+304F,200021851_00007_2,309,2316,B0001,C0098,56,142
U+5207,200021851_00007_2,258,2491,B0001,C0099,158,90
U+4E8C,200021851_00007_2,279,2615,B0001,C0100,119,60
U+4E09,200021851_00007_2,289,2719,B0001,C0101,114,91
