Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+3061,200014740-00004_1,1964,335,B0001,C0001,63,96
U+304B,200014740-00004_1,1974,429,B0001,C0002,33,75
U+304D,200014740-00004_1,1949,510,B0001,C0003,88,87
U+767D,200014740-00004_1,1959,605,B0001,C0004,58,90
U+5CF0,200014740-00004_1,1938,702,B0001,C0005,96,125
U+3068,200014740-00004_1,1975,847,B0001,C0006,29,81
U+3044,200014740-00004_1,1948,928,B0001,C0007,78,59
U+3075,200014740-00004_1,1941,982,B0001,C0008,94,93
U+6240,200014740-00004_1,1943,1087,B0001,C0009,80,85
U+306B,200014740-00004_1,1948,1175,B0001,C0010,92,96
U+3053,200014740-00004_1,1969,1253,B0001,C0011,42,101
U+305D,200014740-00004_1,1960,1351,B0001,C0012,82,104
U+65B0,200014740-00004_1,1953,1473,B0001,C0013,71,119
U+9662,200014740-00004_1,1941,1606,B0001,C0014,103,110
U+306E,200014740-00004_1,1944,1720,B0001,C0015,76,101
U+9675,200014740-00004_1,1935,1836,B0001,C0016,96,113
U+3042,200014740-00004_1,1950,1981,B0001,C0017,66,93
U+308A,200014740-00004_1,1971,2070,B0001,C0018,43,84
U+3068,200014740-00004_1,1976,2156,B0001,C0019,30,87
U+805E,200014740-00004_1,1961,2253,B0001,C0020,63,116
U+3066,200014740-00004_1,1951,2362,B0001,C0021,59,87
U+62DC,200014740-00004_1,1946,2456,B0001,C0022,84,122
U+307F,200014740-00004_1,1984,2579,B0001,C0023,21,68
U+305F,200014740-00004_1,1955,2661,B0001,C0024,61,100
U+3066,200014740-00004_1,1961,2743,B0001,C0025,58,100
U+307E,200014740-00004_1,1810,338,B0001,C0026,88,98
U+3064,200014740-00004_1,1809,429,B0001,C0027,80,86
U+3089,200014740-00004_1,1844,515,B0001,C0028,29,75
U+3070,200014740-00004_1,1827,595,B0001,C0029,59,102
U+3084,200014740-00004_1,1804,697,B0001,C0030,90,62
U+3068,200014740-00004_1,1827,771,B0001,C0031,34,97
U+5341,200014740-00004_1,1812,891,B0001,C0032,73,92
U+6708,200014740-00004_1,1805,994,B0001,C0033,76,114
U+306F,200014740-00004_1,1824,1123,B0001,C0034,52,79
U+3058,200014740-00004_1,1853,1203,B0001,C0035,39,113
U+3081,200014740-00004_1,1826,1325,B0001,C0036,53,68
U+3064,200014740-00004_1,1809,1397,B0001,C0037,88,86
U+304B,200014740-00004_1,1826,1491,B0001,C0038,42,97
U+305F,200014740-00004_1,1819,1585,B0001,C0039,56,79
U+304B,200014740-00004_1,1806,1687,B0001,C0040,76,59
U+306E,200014740-00004_1,1808,1751,B0001,C0041,72,99
U+5C71,200014740-00004_1,1809,1853,B0001,C0042,79,73
U+306B,200014740-00004_1,1832,1946,B0001,C0043,35,75
U+767B,200014740-00004_1,1807,2038,B0001,C0044,98,149
U+308B,200014740-00004_1,1828,2188,B0001,C0045,37,62
U+677E,200014740-00004_1,1802,2273,B0001,C0046,81,79
U+67CF,200014740-00004_1,1796,2373,B0001,C0047,89,106
U+306F,200014740-00004_1,1830,2481,B0001,C0048,36,84
U+5967,200014740-00004_1,1794,2571,B0001,C0049,118,115
U+3075,200014740-00004_1,1795,2693,B0001,C0050,90,89
U+304B,200014740-00004_1,1818,2781,B0001,C0051,53,59
U+304F,200014740-00004_1,1684,343,B0001,C0052,37,102
U+8302,200014740-00004_1,1671,453,B0001,C0053,84,124
U+308A,200014740-00004_1,1684,585,B0001,C0054,39,103
U+3042,200014740-00004_1,1669,706,B0001,C0055,69,90
U+3072,200014740-00004_1,1668,796,B0001,C0056,77,89
U+3066,200014740-00004_1,1673,879,B0001,C0057,69,94
U+9752,200014740-00004_1,1684,984,B0001,C0058,48,123
U+96F2,200014740-00004_1,1666,1130,B0001,C0059,86,115
U+306E,200014740-00004_1,1663,1262,B0001,C0060,80,94
U+8F15,200014740-00004_1,1652,1364,B0001,C0061,93,90
U+9761,200014740-00004_1,1649,1466,B0001,C0062,107,128
U+65E5,200014740-00004_1,1686,1615,B0001,C0063,50,70
U+3059,200014740-00004_1,1679,1705,B0001,C0064,63,115
U+3089,200014740-00004_1,1693,1821,B0001,C0065,27,97
U+5C0F,200014740-00004_1,1657,1929,B0001,C0066,84,65
U+96E8,200014740-00004_1,1650,2002,B0001,C0067,89,106
U+305D,200014740-00004_1,1665,2120,B0001,C0068,80,114
U+307C,200014740-00004_1,1667,2234,B0001,C0069,105,116
U+3075,200014740-00004_1,1652,2357,B0001,C0070,95,86
U+308B,200014740-00004_1,1693,2441,B0001,C0071,28,65
U+304C,200014740-00004_1,1682,2521,B0001,C0072,62,54
U+3057,200014740-00004_1,1691,2711,B0001,C0073,24,123
U+5152,200014740-00004_1,1527,327,B0001,C0074,72,120
U+304C,200014740-00004_1,1531,462,B0001,C0075,61,66
U+5DBD,200014740-00004_1,1505,527,B0001,C0076,102,125
U+3068,200014740-00004_1,1553,658,B0001,C0077,23,101
U+3044,200014740-00004_1,1526,761,B0001,C0078,72,68
U+3075,200014740-00004_1,1512,828,B0001,C0079,94,83
U+5DAE,200014740-00004_1,1513,927,B0001,C0080,121,107
U+3057,200014740-00004_1,1533,1042,B0001,C0081,35,114
U+304D,200014740-00004_1,1523,1141,B0001,C0082,93,100
U+5DBD,200014740-00004_1,1507,1256,B0001,C0083,102,122
U+80CC,200014740-00004_1,1514,1391,B0001,C0084,95,139
U+306B,200014740-00004_1,1542,1551,B0001,C0085,38,76
U+8073,200014740-00004_1,1518,1642,B0001,C0086,105,180
U+3060,200014740-00004_1,1534,1835,B0001,C0087,96,106
U+3061,200014740-00004_1,1540,1945,B0001,C0088,58,100
U+3066,200014740-00004_1,1545,2047,B0001,C0089,35,116
U+5343,200014740-00004_1,1514,2177,B0001,C0090,94,91
U+4EED,200014740-00004_1,1507,2279,B0001,C0091,105,92
U+306E,200014740-00004_1,1509,2367,B0001,C0092,107,99
U+8C37,200014740-00004_1,1510,2467,B0001,C0093,82,102
U+5E95,200014740-00004_1,1507,2578,B0001,C0094,98,107
U+3088,200014740-00004_1,1552,2687,B0001,C0095,39,67
U+308A,200014740-00004_1,1540,2753,B0001,C0096,56,93
U+96F2,200014740-00004_1,1368,333,B0001,C0097,93,108
U+9727,200014740-00004_1,1368,454,B0001,C0098,87,133
U+304A,200014740-00004_1,1364,601,B0001,C0099,102,71
U+3072,200014740-00004_1,1375,680,B0001,C0100,86,81
U+306E,200014740-00004_1,1375,763,B0001,C0101,71,107
U+307C,200014740-00004_1,1370,877,B0001,C0102,108,104
U+308C,200014740-00004_1,1362,980,B0001,C0103,118,98
U+3070,200014740-00004_1,1394,1064,B0001,C0104,54,96
U+54AB,200014740-00004_1,1364,1177,B0001,C0105,101,105
U+5C3A,200014740-00004_1,1377,1311,B0001,C0106,79,106
U+3092,200014740-00004_1,1371,1427,B0001,C0107,81,90
U+3082,200014740-00004_1,1391,1515,B0001,C0108,38,96
U+6B1D,200014740-00004_1,1363,1629,B0001,C0109,105,139
U+6092,200014740-00004_1,1356,1788,B0001,C0110,101,106
U+3053,200014740-00004_1,1375,1898,B0001,C0111,70,81
U+309D,200014740-00004_1,1404,1974,B0001,C0112,29,63
U+5730,200014740-00004_1,1361,2055,B0001,C0113,112,90
U+305B,200014740-00004_1,1381,2145,B0001,C0114,66,100
U+3089,200014740-00004_1,1390,2244,B0001,C0115,37,80
U+308B,200014740-00004_1,1371,2310,B0001,C0116,94,96
U+6728,200014740-00004_1,1378,2409,B0001,C0117,77,95
U+7ACB,200014740-00004_1,1362,2519,B0001,C0118,96,77
U+308F,200014740-00004_1,1403,2617,B0001,C0119,32,113
U+3065,200014740-00004_1,1378,2723,B0001,C0120,109,107
U+304B,200014740-00004_1,1249,342,B0001,C0121,42,93
U+306B,200014740-00004_1,1252,444,B0001,C0122,47,89
U+9593,200014740-00004_1,1229,540,B0001,C0123,83,100
U+305F,200014740-00004_1,1242,644,B0001,C0124,60,109
U+308B,200014740-00004_1,1247,755,B0001,C0125,43,69
U+6240,200014740-00004_1,1229,828,B0001,C0126,81,90
U+306B,200014740-00004_1,1253,930,B0001,C0127,38,89
U+571F,200014740-00004_1,1230,1053,B0001,C0128,71,59
U+304F,200014740-00004_1,1255,1277,B0001,C0129,27,103
U+7A4D,200014740-00004_1,1219,1387,B0001,C0130,99,123
U+305F,200014740-00004_1,1236,1515,B0001,C0131,63,100
U+308B,200014740-00004_1,1245,1614,B0001,C0132,39,71
U+304C,200014740-00004_1,1245,1705,B0001,C0133,56,53
U+4E0A,200014740-00004_1,1228,1778,B0001,C0134,82,89
U+306B,200014740-00004_1,1247,1888,B0001,C0135,45,86
U+77F3,200014740-00004_1,1227,1989,B0001,C0136,71,107
U+3092,200014740-00004_1,1231,2094,B0001,C0137,82,103
U+4E09,200014740-00004_1,1228,2194,B0001,C0138,90,54
U+304B,200014740-00004_1,1224,2270,B0001,C0139,83,62
U+3055,200014740-00004_1,1240,2337,B0001,C0140,57,81
U+306D,200014740-00004_1,1224,2418,B0001,C0141,88,108
U+306B,200014740-00004_1,1254,2534,B0001,C0142,40,66
U+758A,200014740-00004_1,1236,2615,B0001,C0143,75,118
U+307F,200014740-00004_1,1234,2748,B0001,C0144,97,88
U+306A,200014740-00004_1,1090,336,B0001,C0145,79,99
U+3057,200014740-00004_1,1144,437,B0001,C0146,15,93
U+305F,200014740-00004_1,1094,504,B0001,C0147,53,110
U+308B,200014740-00004_1,1103,617,B0001,C0148,38,75
U+304C,200014740-00004_1,1097,699,B0001,C0149,69,70
U+834A,200014740-00004_1,1071,776,B0001,C0150,92,142
U+8540,200014740-00004_1,1073,926,B0001,C0151,103,130
U+859C,200014740-00004_1,1073,1073,B0001,C0152,93,143
U+863F,200014740-00004_1,1075,1218,B0001,C0153,96,138
U+306B,200014740-00004_1,1103,1374,B0001,C0154,46,85
U+3046,200014740-00004_1,1106,1475,B0001,C0155,34,110
U+3065,200014740-00004_1,1074,1562,B0001,C0156,111,87
U+3082,200014740-00004_1,1096,1649,B0001,C0157,60,100
U+308C,200014740-00004_1,1070,1742,B0001,C0158,120,107
U+3066,200014740-00004_1,1090,1847,B0001,C0159,69,102
U+3046,200014740-00004_1,1104,1945,B0001,C0160,36,85
U+3089,200014740-00004_1,1104,2028,B0001,C0161,27,94
U+304C,200014740-00004_1,1076,2106,B0001,C0162,108,89
U+306A,200014740-00004_1,1086,2197,B0001,C0163,74,120
U+3057,200014740-00004_1,1137,2294,B0001,C0164,15,102
U+304D,200014740-00004_1,1087,2382,B0001,C0165,53,87
U+3092,200014740-00004_1,1080,2466,B0001,C0166,90,100
U+3053,200014740-00004_1,1081,2563,B0001,C0167,59,59
U+308C,200014740-00004_1,1068,2625,B0001,C0168,110,117
U+306A,200014740-00004_1,1091,2729,B0001,C0169,87,105
U+3089,200014740-00004_1,961,338,B0001,C0170,50,101
U+3093,200014740-00004_1,937,434,B0001,C0171,110,84
U+5FA1,200014740-00004_1,937,508,B0001,C0172,81,103
U+5893,200014740-00004_1,922,617,B0001,C0173,115,129
U+306B,200014740-00004_1,960,773,B0001,C0174,33,89
U+3084,200014740-00004_1,937,862,B0001,C0175,91,53
U+3068,200014740-00004_1,964,933,B0001,C0176,41,83
U+5FC3,200014740-00004_1,932,1037,B0001,C0177,101,82
U+3082,200014740-00004_1,961,1130,B0001,C0178,38,94
U+304B,200014740-00004_1,952,1252,B0001,C0179,45,95
U+304D,200014740-00004_1,936,1338,B0001,C0180,96,112
U+304F,200014740-00004_1,945,1432,B0001,C0181,72,79
U+3089,200014740-00004_1,973,1510,B0001,C0182,24,96
U+307E,200014740-00004_1,951,1605,B0001,C0183,54,98
