Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+9053,200021712-00004_2,1801,865,B0001,C0001,164,268
U+306E,200021712-00004_2,1810,1144,B0001,C0002,156,151
U+96E3,200021712-00004_2,1783,1288,B0001,C0003,187,227
U+306B,200021712-00004_2,1810,1474,B0001,C0004,151,128
U+6709,200021712-00004_2,1795,1604,B0001,C0005,146,194
U+66F8,200021712-00004_2,1796,1786,B0001,C0006,172,252
U+574A,200021712-00004_2,1782,2030,B0001,C0007,198,200
U+306E,200021712-00004_2,1842,2219,B0001,C0008,102,171
U+67D0,200021712-00004_2,1778,2377,B0001,C0009,190,203
U+4ECA,200021712-00004_2,1791,2589,B0001,C0010,190,231
U+7BB1,200021712-00004_2,1785,2817,B0001,C0011,183,221
U+306E,200021712-00004_2,1850,3025,B0001,C0012,95,144
U+84CB,200021712-00004_2,1797,3153,B0001,C0013,189,287
U+3092,200021712-00004_2,1539,847,B0001,C0014,96,146
U+958B,200021712-00004_2,1520,1004,B0001,C0015,170,193
U+3093,200021712-00004_2,1545,1199,B0001,C0016,131,143
U+3092,200021712-00004_2,1548,1496,B0001,C0017,108,191
U+554F,200021712-00004_2,1528,1683,B0001,C0018,155,193
U+4E88,200021712-00004_2,1578,1906,B0001,C0019,103,178
U+304B,200021712-00004_2,1563,2077,B0001,C0020,60,104
U+66F0,200021712-00004_2,1515,2199,B0001,C0021,177,129
U+5C13,200021712-00004_2,1496,2343,B0001,C0022,193,180
U+308A,200021712-00004_2,1584,2516,B0001,C0023,55,176
U+8535,200021712-00004_2,1484,2678,B0001,C0024,209,246
U+3068,200021712-00004_2,1579,2926,B0001,C0025,46,104
U+304D,200021712-00004_2,1539,3018,B0001,C0026,97,201
U+306F,200021712-00004_2,1536,3221,B0001,C0027,106,226
U+751E,200021712-00004_2,1228,844,B0001,C0028,178,241
U+4EBA,200021712-00004_2,1212,1094,B0001,C0029,198,198
U+6307,200021712-00004_2,1207,1294,B0001,C0030,177,195
U+3092,200021712-00004_2,1244,1482,B0001,C0031,116,156
U+5C48,200021712-00004_2,1171,1652,B0001,C0032,209,237
U+3059,200021712-00004_2,1279,1861,B0001,C0033,57,152
U+308B,200021712-00004_2,1280,2013,B0001,C0034,45,119
U+306B,200021712-00004_2,1209,2130,B0001,C0035,167,109
U+305F,200021712-00004_2,1223,2249,B0001,C0036,145,156
U+3089,200021712-00004_2,1270,2387,B0001,C0037,59,139
U+305A,200021712-00004_2,1238,2504,B0001,C0038,154,167
U+62AB,200021712-00004_2,1199,2693,B0001,C0039,189,194
U+6642,200021712-00004_2,1223,2864,B0001,C0040,163,206
U+306F,200021712-00004_2,1249,3069,B0001,C0041,102,66
U+7B6D,200021712-00004_2,1194,3142,B0001,C0042,185,289
U+306E,200021712-00004_2,932,861,B0001,C0043,146,142
U+57F7,200021712-00004_2,895,1006,B0001,C0044,211,223
U+308B,200021712-00004_2,992,1216,B0001,C0045,65,104
U+306B,200021712-00004_2,921,1330,B0001,C0046,162,130
U+6687,200021712-00004_2,939,1486,B0001,C0047,181,178
U+3042,200021712-00004_2,950,1673,B0001,C0048,136,142
U+3089,200021712-00004_2,1001,1812,B0001,C0049,52,125
U+3059,200021712-00004_2,954,1930,B0001,C0050,154,186
U+4F55,200021712-00004_2,897,2127,B0001,C0051,208,270
U+305E,200021712-00004_2,953,2408,B0001,C0052,124,96
U+62AB,200021712-00004_2,907,2538,B0001,C0053,192,197
U+3056,200021712-00004_2,970,2731,B0001,C0054,125,132
U+308B,200021712-00004_2,956,2863,B0001,C0055,139,179
U+597D,200021712-00004_2,907,3082,B0001,C0056,195,148
U+5C13,200021712-00004_2,918,3243,B0001,C0057,160,196
U+98DB,200021712-00004_2,655,857,B0001,C0058,164,204
U+7F85,200021712-00004_2,659,1073,B0001,C0059,150,216
U+8A08,200021712-00004_2,626,1279,B0001,C0060,185,334
U+3068,200021712-00004_2,658,1608,B0001,C0061,147,171
U+3044,200021712-00004_2,648,1792,B0001,C0062,156,97
U+3075,200021712-00004_2,665,1919,B0001,C0063,154,165
U+306E,200021712-00004_2,663,2094,B0001,C0064,131,239
U+307F,200021712-00004_2,708,2334,B0001,C0065,60,129
