Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+3068,200021637-00005_2,1613,283,B0001,C0001,52,63
U+3053,200021637-00005_2,1614,364,B0001,C0002,48,60
U+3076,200021637-00005_2,1584,465,B0001,C0003,96,85
U+3057,200021637-00005_2,1606,540,B0001,C0004,32,191
U+7AF9,200021637-00005_2,1408,272,B0001,C0005,107,115
U+306E,200021637-00005_2,1426,452,B0001,C0006,64,63
U+5B50,200021637-00005_2,1424,571,B0001,C0007,71,96
U+65E8,200021637-00005_2,1296,415,B0001,C0008,40,103
U+716E,200021637-00005_2,1281,560,B0001,C0009,67,108
U+6728,200021637-00005_2,1150,408,B0001,C0010,71,97
U+306E,200021637-00005_2,1160,532,B0001,C0011,51,43
U+76EE,200021637-00005_2,1158,601,B0001,C0012,53,83
U+5C71,200021637-00005_2,994,257,B0001,C0013,71,63
U+5439,200021637-00005_2,990,321,B0001,C0014,84,77
U+3084,200021637-00005_2,996,408,B0001,C0015,71,64
U+304D,200021637-00005_2,1004,472,B0001,C0016,55,79
U+4E09,200021637-00005_2,916,257,B0001,C0017,47,44
U+307E,200021637-00005_2,921,303,B0001,C0018,35,60
U+3044,200021637-00005_2,910,365,B0001,C0019,53,39
U+306B,200021637-00005_2,916,405,B0001,C0020,51,41
U+304A,200021637-00005_2,848,256,B0001,C0021,56,45
U+308D,200021637-00005_2,852,300,B0001,C0022,40,49
U+3057,200021637-00005_2,864,352,B0001,C0023,16,67
U+306F,200021637-00005_2,804,261,B0001,C0024,31,48
U+3089,200021637-00005_2,808,313,B0001,C0025,23,37
U+8EAB,200021637-00005_2,777,355,B0001,C0026,63,64
U+3092,200021637-00005_2,787,423,B0001,C0027,55,37
U+3068,200021637-00005_2,749,252,B0001,C0028,27,53
U+308A,200021637-00005_2,748,307,B0001,C0029,28,55
U+3057,200021637-00005_2,687,259,B0001,C0030,44,51
U+307B,200021637-00005_2,692,309,B0001,C0031,47,56
U+6C34,200021637-00005_2,691,365,B0001,C0032,43,59
