Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+86F8,200021802-00005_1,2455,823,B0001,C0001,137,186
U+6AFB,200021802-00005_1,2465,1161,B0001,C0002,142,172
U+3044,200021802-00005_1,2500,1372,B0001,C0003,68,65
U+308A,200021802-00005_1,2519,1438,B0001,C0004,54,130
U+3059,200021802-00005_1,2481,1717,B0001,C0005,93,128
U+308B,200021802-00005_1,2512,1846,B0001,C0006,61,102
U+304C,200021802-00005_1,2525,1971,B0001,C0007,80,86
U+306B,200021802-00005_1,2459,2058,B0001,C0008,143,127
U+306A,200021802-00005_1,2502,2337,B0001,C0009,91,127
U+307E,200021802-00005_1,2527,2465,B0001,C0010,46,178
U+3059,200021802-00005_1,2505,2661,B0001,C0011,72,150
U+304B,200021802-00005_1,2482,2933,B0001,C0012,118,121
U+307E,200021802-00005_1,2523,3038,B0001,C0013,56,121
U+307C,200021802-00005_1,2481,3184,B0001,C0014,152,134
U+3053,200021802-00005_1,2502,3339,B0001,C0015,77,98
U+6B64,200021802-00005_1,2272,1075,B0001,C0016,143,109
U+5916,200021802-00005_1,2294,1200,B0001,C0017,123,136
U+8272,200021802-00005_1,2302,1362,B0001,C0018,88,155
U+3005,200021802-00005_1,2335,1535,B0001,C0019,61,78
U+540C,200021802-00005_1,2295,1714,B0001,C0020,102,101
U+3044,200021802-00005_1,2271,1836,B0001,C0021,102,84
U+3072,200021802-00005_1,2270,1927,B0001,C0022,132,134
U+3060,200021802-00005_1,2278,2033,B0001,C0023,152,141
U+3053,200021802-00005_1,2331,2193,B0001,C0024,43,60
U+3059,200021802-00005_1,2300,2341,B0001,C0025,86,138
U+3044,200021802-00005_1,2288,2508,B0001,C0026,103,65
U+3082,200021802-00005_1,2326,2556,B0001,C0027,45,116
U+306E,200021802-00005_1,2260,2718,B0001,C0028,135,110
U+540C,200021802-00005_1,2291,2936,B0001,C0029,107,115
U+304F,200021802-00005_1,2294,3043,B0001,C0030,96,101
U+3082,200021802-00005_1,2334,3145,B0001,C0031,45,103
U+3060,200021802-00005_1,2314,3258,B0001,C0032,124,126
U+3053,200021802-00005_1,2321,3397,B0001,C0033,57,76
U+3055,200021802-00005_1,2307,3580,B0001,C0034,129,168
U+304B,200021802-00005_1,2342,3777,B0001,C0035,57,95
U+306A,200021802-00005_1,2308,3873,B0001,C0036,142,126
U+9CE5,200021802-00005_1,2063,789,B0001,C0037,144,152
U+8CCA,200021802-00005_1,2077,952,B0001,C0038,165,179
U+30CF,200021802-00005_1,2102,1219,B0001,C0039,74,39
U+3046,200021802-00005_1,2116,1484,B0001,C0040,48,160
U+306E,200021802-00005_1,2037,1673,B0001,C0041,169,152
U+306F,200021802-00005_1,2086,1836,B0001,C0042,117,160
U+306A,200021802-00005_1,2086,1997,B0001,C0043,127,187
U+306A,200021802-00005_1,2086,2339,B0001,C0044,107,126
U+307E,200021802-00005_1,2111,2466,B0001,C0045,52,172
U+3059,200021802-00005_1,2085,2639,B0001,C0046,138,185
U+3055,200021802-00005_1,2090,2944,B0001,C0047,108,128
U+3057,200021802-00005_1,2142,3073,B0001,C0048,44,185
U+307F,200021802-00005_1,2046,3263,B0001,C0049,167,165
U+306A,200021802-00005_1,2098,3542,B0001,C0050,110,180
U+307E,200021802-00005_1,2122,3726,B0001,C0051,53,161
U+3073,200021802-00005_1,2091,3888,B0001,C0052,155,163
U+304B,200021802-00005_1,1918,1092,B0001,C0053,36,89
U+307E,200021802-00005_1,1865,1186,B0001,C0054,125,151
U+307C,200021802-00005_1,1876,1359,B0001,C0055,169,143
U+3053,200021802-00005_1,1918,1529,B0001,C0056,51,95
U+306B,200021802-00005_1,1869,1710,B0001,C0057,176,150
U+7269,200021802-00005_1,1862,1869,B0001,C0058,169,135
U+9752,200021802-00005_1,1900,2335,B0001,C0059,90,187
U+3042,200021802-00005_1,1877,2537,B0001,C0060,123,132
U+3078,200021802-00005_1,1859,2715,B0001,C0061,190,68
U+5176,200021802-00005_1,1889,2911,B0001,C0062,59,220
U+5916,200021802-00005_1,1871,3132,B0001,C0063,143,166
U+3044,200021802-00005_1,1871,3370,B0001,C0064,124,104
U+308D,200021802-00005_1,1854,3479,B0001,C0065,158,178
U+3031,200021802-00005_1,1898,3644,B0001,C0066,112,339
U+540C,200021802-00005_1,1665,1100,B0001,C0067,113,133
U+5C0F,200021802-00005_1,1649,1223,B0001,C0068,140,109
U+3044,200021802-00005_1,1649,1398,B0001,C0069,137,51
U+304B,200021802-00005_1,1712,1493,B0001,C0070,38,72
U+3059,200021802-00005_1,1671,1716,B0001,C0071,97,148
U+3044,200021802-00005_1,1654,1902,B0001,C0072,136,60
U+3082,200021802-00005_1,1708,1949,B0001,C0073,37,150
U+306E,200021802-00005_1,1647,2111,B0001,C0074,140,139
U+540C,200021802-00005_1,1675,2336,B0001,C0075,112,158
U+3059,200021802-00005_1,1660,2495,B0001,C0076,111,152
U+308B,200021802-00005_1,1697,2650,B0001,C0077,57,92
U+3081,200021802-00005_1,1683,2767,B0001,C0078,98,83
U+6C34,200021802-00005_1,1688,2944,B0001,C0079,86,155
U+3042,200021802-00005_1,1682,3174,B0001,C0080,123,118
U+3078,200021802-00005_1,1657,3292,B0001,C0081,132,105
U+8272,200021802-00005_1,1695,3546,B0001,C0082,95,173
U+3005,200021802-00005_1,1710,3720,B0001,C0083,87,117
U+9BE8,200021802-00005_1,1453,811,B0001,C0084,181,183
U+6C41,200021802-00005_1,1457,1157,B0001,C0085,130,275
U+3055,200021802-00005_1,1492,1719,B0001,C0086,73,114
U+3057,200021802-00005_1,1523,1834,B0001,C0087,26,156
U+307F,200021802-00005_1,1432,1991,B0001,C0088,163,168
U+3059,200021802-00005_1,1467,2331,B0001,C0089,84,179
U+3044,200021802-00005_1,1457,2528,B0001,C0090,118,59
U+7269,200021802-00005_1,1464,2628,B0001,C0091,146,165
U+3042,200021802-00005_1,1460,2942,B0001,C0092,122,112
U+3078,200021802-00005_1,1447,3121,B0001,C0093,183,79
U+3082,200021802-00005_1,1523,3172,B0001,C0094,42,123
U+306E,200021802-00005_1,1459,3307,B0001,C0095,142,143
U+304B,200021802-00005_1,1561,3460,B0001,C0096,46,53
U+3059,200021802-00005_1,1536,3518,B0001,C0097,69,114
U+306B,200021802-00005_1,1544,3633,B0001,C0098,82,97
U+3064,200021802-00005_1,1579,3726,B0001,C0099,54,43
U+3051,200021802-00005_1,1560,3793,B0001,C0100,76,110
U+3066,200021802-00005_1,1559,3896,B0001,C0101,61,62
U+3046,200021802-00005_1,1285,1106,B0001,C0102,44,112
U+3061,200021802-00005_1,1288,1222,B0001,C0103,80,149
U+306E,200021802-00005_1,1249,1372,B0001,C0104,125,125
U+7269,200021802-00005_1,1244,1498,B0001,C0105,164,122
U+3044,200021802-00005_1,1253,1660,B0001,C0106,121,113
U+308D,200021802-00005_1,1230,1766,B0001,C0107,141,150
U+3031,200021802-00005_1,1269,1914,B0001,C0108,105,256
U+540C,200021802-00005_1,1255,2321,B0001,C0109,112,137
U+304B,200021802-00005_1,1297,2471,B0001,C0110,32,58
U+3076,200021802-00005_1,1219,2530,B0001,C0111,165,139
